1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/8 Cartesian=0.0000000 0.0000000 0.0000000 (21523 plane wave)
 1 -94.43173923529015 0.04081632653061225
 2 -94.41109773929236 0.04081632653061225
 3 -94.41102922665229 0.04081632653061225
 4 -94.41095429237359 0.04081632653061225
 5 -93.88900228717998 0.04081632653061225
 6 -93.88486748916301 0.04081632653061225
 7 -93.86893703717308 0.04081632653061225
 8 -93.86889579397176 0.04081632653061225
 9 -93.86886632756510 0.04081632653061225
 10 -93.86376371978321 0.04081632653061225
 11 -93.86372251404345 0.04081632653061225
 12 -93.86369299464332 0.04081632653061225
 13 -48.75307932485170 0.04081632653061225
 14 -48.75304264825717 0.04081632653061225
 15 -48.75300970673699 0.04081632653061225
 16 -48.60509941158783 0.04081632653061225
 17 -48.55258378937032 0.04081632653061225
 18 -48.55252611105180 0.04081632653061225
 19 -48.55246188150004 0.04081632653061225
 20 -48.46835649278343 0.04081632653061225
 21 -48.46832458054131 0.04081632653061225
 22 -48.46829528377767 0.04081632653061225
 23 -48.37465321963310 0.04081632653061225
 24 -48.37465247599895 0.04081632653061225
 25 -48.29075238254753 0.04081632653061225
 26 -48.29073774806675 0.04081632653061225
 27 -48.29071742094817 0.04081632653061225
 28 -48.25769102142297 0.04081632653061225
 29 -48.25767148801150 0.04081632653061225
 30 -48.25764543332169 0.04081632653061225
 31 -48.01253080908771 0.04081632653061225
 32 -48.01251849125297 0.04081632653061225
 33 -48.01250094242361 0.04081632653061225
 34 -48.01179057538934 0.04081632653061225
 35 -48.01177862877597 0.04081632653061225
 36 -48.01176139785603 0.04081632653061225
 37 -47.92383715544972 0.04081632653061225
 38 -47.92383713621228 0.04081632653061225
 39 -47.92043286425423 0.04081632653061225
 40 -47.92043285693572 0.04081632653061225
 41 -47.81343771862615 0.04081632653061225
 42 -47.77260311574381 0.04081632653061225
 43 -47.75930163711892 0.04081632653061225
 44 -47.75926177764666 0.04081632653061225
 45 -47.75923423169492 0.04081632653061225
 46 -47.74985527351119 0.04081632653061225
 47 -47.74981604008303 0.04081632653061225
 48 -47.74978889859642 0.04081632653061225
 49 -5.024581895171529 0.04081632653061225
 50 -3.203857311633752 0.04081632653061225
 51 -2.794069487038726 0.04081632653061225
 52 -2.448278583886705 0.04081632653061225
 53 -2.448268996981883 0.04081632653061225
 54 -2.448258985512168 0.04081632653061225
 55 -2.165291033464396 0.04081632653061225
 56 -2.165287292151435 0.04081632653061225
 57 -2.165282871861660 0.04081632653061225
 58 -1.700411576713796 0.04081632653061225
 59 -1.700407300603636 0.04081632653061225
 60 -1.700401146467351 0.04081632653061225
 61 -1.502861705441855 0.04081632653061225
 62 -1.502855862977361 0.04081632653061225
 63 -1.502847102508918 0.04081632653061225
 64 -0.02568507158555368 0.04081632653061225
 65 -0.02567520080525702 0.04081632653061225
 66 -0.02566066284243235 0.04081632653061225
 67 0.3516865583305436 0.04081632653061225
 68 0.3516902861669531 0.04081632653061225
 69 0.3516965258910095 0.04081632653061225
 70 0.5088512601929208 0.04081632653061225
 71 0.5654491028818982 0.04081632653061225
 72 0.5654496849074869 0.04081632653061225
 73 0.9607235102581151 0.04081632653061225
 74 0.9607238560185059 0.04081632653061225
 75 0.9839663364854903 0.04081632653061225
 76 1.089346080784324 0.04081632653061225
 77 1.089356198520382 0.04081632653061225
 78 1.089366615363725 0.04081632653061225
 79 1.212718332027934 0.04081632653061225
 80 1.212718372234762 0.04081632653061225
 81 1.760723326913098 0.04081632653061225
 82 1.760750608871567 0.04081632653061225
 83 1.760767702125202 0.04081632653061225
 84 2.718758543522169 0.04081632653061225
 85 2.718761829186172 0.04081632653061225
 86 2.759040773100020 0.04081632653061225
 87 2.759049706029600 0.04081632653061225
 88 2.759062955910133 0.04081632653061225
 89 2.849123311424010 0.04081632653061225
 90 2.849144517635942 0.04081632653061225
 91 2.849169879237092 0.04081632653061225
 92 3.414523686193862 0.04081632653061225
 93 3.450033303911810 0.04081632653061225
 94 3.450033560613347 0.04081632653061225
 95 3.993096131898895 0.04081632653061225
 96 3.993100016353823 0.04081632653061225
 97 3.993107490524308 0.04081632653061225
 98 4.047384089715161 0.04081632540613253
 99 4.047408090424926 0.04081632539824093
 100 4.047423744575161 0.04081632539306485
 101 4.152635996431748 0.01982095815733623
 102 4.152637904818302 0.01981934420309688
 103 4.320193269930097 0.000000000000000
 104 4.320214945295501 0.000000000000000
 105 4.320235582091788 0.000000000000000
 106 4.740858659446840 0.000000000000000
 107 4.740869646159595 0.000000000000000
 108 4.740885770374938 0.000000000000000
 109 4.791651273362668 0.000000000000000
 110 4.791659972567005 0.000000000000000
 111 4.791672417861768 0.000000000000000
 112 4.978994006108532 0.000000000000000
 113 5.342205318228437 0.000000000000000
 114 5.342207340685879 0.000000000000000
 115 5.342211741136136 0.000000000000000
 116 7.079311761124086 0.000000000000000
 117 7.079326696744447 0.000000000000000
 118 7.079345894000806 0.000000000000000
 119 7.096735174793545 0.000000000000000
 120 7.096744239206138 0.000000000000000
 121 7.096752610858252 0.000000000000000
 122 9.457107976840657 0.000000000000000
 123 9.935097216756027 0.000000000000000
 124 10.28230384553997 0.000000000000000
 125 10.28231587091874 0.000000000000000
 126 10.28232058718578 0.000000000000000
 127 10.43732961000529 0.000000000000000
 128 10.43734189315506 0.000000000000000
 129 10.43734773186208 0.000000000000000

 spin=1 k-point=2/8 Cartesian=0.000000000000000 -0.02574726280848987 0.01486518908669167 (21469 plane wave)
 1 -94.42689551637875 0.2448979591836735
 2 -94.40983189046810 0.2448979591836735
 3 -94.40970538409546 0.2448979591836735
 4 -94.40955647327957 0.2448979591836735
 5 -93.88383245033538 0.2448979591836735
 6 -93.88044571183026 0.2448979591836735
